,0
0,0.8479724
1,0.8487705
2,0.8467677
3,0.8373626
4,0.92084044
5,0.8688
6,0.9020301
7,0.9287017
8,0.9053426
9,0.84815097
10,0.97509325
11,0.99436116
12,0.90487444
13,1.0273447
14,0.86087656
15,0.92654574
16,1.0229671
17,0.975403
18,1.0610814
19,1.0448971
20,1.0778246
21,1.0934962
22,0.987635
23,1.5817969
24,1.4517096
25,1.4879364
26,1.0876279
27,1.1761397
28,1.3766277
29,1.3286864
30,1.6293437
31,1.1510233
32,1.4326184
33,1.2898005
34,1.4003612
35,1.2988139
36,1.3128521
37,1.1724237
38,1.1469083
39,1.0660148
40,1.1899222
41,1.1173131
42,1.0739733
43,1.024619
44,1.1920819
45,1.1409512
46,1.143155
47,1.0567768
48,1.1214305
49,1.0745339
50,0.9889504
51,0.9328796
52,0.90561926
53,0.99505395
54,0.9306039
55,1.0149347
56,0.93035555
57,0.85223395
58,0.8949448
59,0.9302227
60,0.90149933
61,0.9322464
62,0.9896371
63,0.9111834
64,0.92201406
65,1.003098
66,0.8919349
67,0.88041604
68,1.116334
69,0.8758547
70,0.9908184
71,1.08861
72,1.0471665
73,1.1404094
74,0.971711
75,1.1760666
76,0.9970423
77,1.0161241
78,1.2938294
79,1.2786542
80,1.9685725
81,1.294801
82,1.6544491
83,1.3208961
84,0.98895806
85,1.1193199
86,1.2294081
87,1.1526152
88,1.2916111
89,1.289687
90,1.4187381
91,1.4495621
92,1.563947
93,1.253244
94,1.0358207
95,1.0876002
96,1.1898298
97,1.1082152
98,1.1022972
99,1.0773097
100,1.0500128
101,0.96269625
102,1.033752
103,0.89607733
104,1.0528854
105,1.0374913
106,0.9505191
107,1.0402026
108,0.9450254
109,0.91773015
110,0.911011
111,0.9194665
112,1.0075588
113,0.8662978
114,0.852568
115,0.97777015
116,0.8494135
117,0.98193383
118,0.9235455
119,0.9891765
120,0.8929733
121,0.95318884
122,1.0273383
123,1.000116
124,1.0903125
125,1.121129
126,1.1525966
127,1.0122061
128,0.88681465
129,0.97050065
130,1.0241891
131,1.1238945
132,1.049195
133,1.0015165
134,1.3585732
135,1.2757093
136,1.1652559
