,0
0,93.431915
1,120.32735
2,123.14555
3,117.521065
4,102.62459
5,99.9581
6,92.686874
7,87.82857
8,80.903275
9,79.40753
10,78.87722
11,93.36099
12,129.01854
13,158.58109
14,154.57085
15,157.92908
16,163.47028
17,163.34666
18,156.82819
19,154.07426
20,150.28642
21,152.51532
22,151.92476
23,140.74873
24,84.95602
25,17.091717
26,8.083619
27,8.392133
28,10.439252
29,10.307565
30,8.011697
31,8.362755
32,9.328297
33,9.636865
34,8.106088
35,10.414049
36,14.922302
37,18.256598
38,18.203787
39,15.390272
40,12.343204
41,10.427319
42,10.624325
43,9.06165
44,7.503941
45,7.603754
46,9.811322
47,10.836538
48,22.766087
49,67.23114
50,86.98003
51,89.33474
52,98.381874
53,103.50835
54,105.291565
55,104.83127
56,110.522224
57,111.35321
58,118.00796
59,115.84442
60,102.78236
61,51.721203
62,19.187277
63,10.082877
64,11.056317
65,15.359386
66,15.351976
67,12.008045
68,11.441364
69,9.053601
70,8.117136
71,9.043654
72,13.265039
73,20.883154
74,20.59022
75,18.052828
76,14.930565
77,14.122431
78,12.224379
79,12.1974325
80,9.42788
81,9.678102
82,7.364742
83,8.968758
84,15.83072
85,32.69968
86,78.98606
87,89.92172
88,91.93276
89,106.65172
90,107.9988
91,107.41377
92,109.99987
93,113.504036
94,115.07903
95,119.49669
96,117.315155
97,74.963356
98,22.067425
99,11.4763155
100,10.517983
101,12.608258
102,15.046776
103,13.375587
104,12.351248
105,11.95868
106,8.02982
107,7.674207
108,11.158466
109,15.843228
110,20.312944
111,19.309467
112,14.81566
113,12.026034
114,11.706073
115,11.239241
116,11.304901
117,8.503297
118,8.903213
119,9.621038
120,12.581422
121,17.103994
122,37.04156
123,69.60939
124,82.20015
125,85.84366
126,95.190605
127,91.95375
128,96.63847
129,101.13268
130,103.697136
131,107.408585
132,111.93433
133,104.85714
134,48.413677
135,16.241554
136,11.95908
137,11.33435
138,15.3897705
139,17.10803
140,16.99613
141,14.885791
142,11.608691
143,8.227624
144,8.870855
145,11.589794
146,18.175854
147,22.487032
148,21.479092
149,16.534208
150,13.76621
151,12.79193
152,13.46144
153,11.562287
154,10.717177
155,10.751261
156,9.491395
157,9.142184
158,17.068785
159,29.129454
160,81.90321
161,96.99962
162,102.08223
163,110.860985
164,110.956604
165,116.42141
166,119.90729
167,117.96502
168,120.90825
169,127.87459
170,121.88172
171,54.248466
172,17.381964
173,14.375075
174,14.610987
175,16.629412
176,18.098457
177,18.027882
178,18.91758
179,13.053258
180,9.201409
181,9.110442
182,11.611397
183,17.346943
