,0
0,18.714636
1,19.674795
2,19.392963
3,19.63518
4,18.323362
5,18.940107
6,19.704597
7,18.803007
8,16.587591
9,14.592511
10,16.24589
11,16.642237
12,15.84981
13,14.089461
14,18.843332
15,19.120813
16,20.956005
17,22.325289
18,21.013084
19,23.542835
20,20.498957
21,23.902294
22,20.72134
23,23.681145
24,19.950298
25,19.118391
26,23.821613
27,22.574268
28,21.59485
29,25.630182
30,21.432589
31,25.391413
32,25.561377
33,26.731087
34,27.776857
35,27.06932
36,24.429873
37,27.24675
38,23.329758
39,24.411062
40,22.530655
41,22.288443
42,21.56885
43,22.704426
44,20.737337
45,20.980356
46,21.294607
47,22.426565
48,24.18585
49,20.719604
50,23.026134
51,22.895054
52,20.502256
53,20.70261
54,20.974173
55,19.560019
56,18.043428
57,20.90359
58,18.471403
59,19.784096
60,17.689306
61,19.147778
62,19.239998
63,17.705858
64,15.357649
65,16.958153
66,17.03249
67,15.299321
68,15.968054
69,18.665619
70,18.81552
71,21.19348
72,17.285093
73,21.743452
74,22.860071
75,22.473425
76,20.983452
77,22.924353
78,21.724707
79,18.942852
80,20.90781
81,23.438845
82,23.729298
83,22.881472
84,23.046978
85,25.268827
86,24.932905
87,27.009188
88,25.797495
89,28.46248
90,25.400856
91,26.528608
92,22.163696
93,21.574068
94,20.286026
95,22.742832
96,20.88254
97,23.710756
98,23.88393
99,23.376287
100,23.570372
101,23.951328
102,24.19225
103,22.182981
104,19.55448
105,20.613953
106,21.168419
107,21.755362
108,20.210163
109,21.28662
110,20.069792
111,18.096886
112,18.944054
113,19.40612
114,20.787226
115,18.73774
116,17.43715
117,20.222317
118,16.497734
119,15.713335
120,16.014534
121,16.38538
122,15.611555
123,15.30219
124,17.063139
125,16.400799
126,18.500011
127,20.045315
128,24.74083
129,23.025429
130,20.576378
131,24.725544
132,23.252817
133,22.359322
134,18.758896
135,23.519505
136,21.279882
137,22.75014
138,22.252337
139,26.206318
140,26.159557
141,24.237793
142,29.139654
143,27.377579
144,23.487164
145,25.292583
146,26.23448
147,24.749153
148,21.902441
149,23.510881
150,23.007969
151,22.067732
152,24.21677
153,23.145376
154,21.735926
155,20.907625
156,21.103518
157,21.136612
158,21.46587
159,20.777504
160,20.285782
161,18.239697
162,20.977087
163,18.470362
164,19.601244
165,20.608757
166,19.520397
167,21.042175
168,18.8004
169,18.052763
170,19.409369
171,19.844389
172,18.88458
173,15.981131
174,15.977793
175,15.745222
176,15.493818
177,14.681593
178,17.315178
179,17.974089
180,19.502748
181,22.472956
182,21.573082
183,23.157234
184,20.664778
185,22.080156
186,21.19445
187,19.535454
188,23.210669
189,19.798328
190,21.712046
191,25.332664
192,22.943544
193,23.284563
194,28.53763
195,24.81416
196,27.335098
197,27.280987
198,29.031345
199,23.546825
200,25.410744
201,21.053194
202,22.650318
203,22.045673
204,21.643671
205,20.602852
206,25.126638
207,22.28528
208,23.706806
209,20.209951
210,22.159447
211,22.39595
212,22.523941
213,19.209072
214,19.49754
215,18.361961
216,18.343493
217,19.209858
218,19.51364
219,18.362865
220,21.204784
221,19.404028
222,17.22239
223,19.278996
224,20.498777
225,19.348412
226,16.218256
227,16.23169
228,14.64893
229,18.801933
230,17.09446
231,16.697006
232,18.111277
233,19.00676
234,21.345118
235,21.360474
236,21.05467
237,23.633041
238,22.248753
239,23.979422
240,20.01278
241,20.813095
242,21.056143
243,20.576828
244,22.137383
245,21.818937
246,25.383142
247,28.839333
248,26.469168
249,26.941467
250,27.29023
251,28.222229
252,27.61064
253,25.41646
254,23.86361
255,21.008781
256,21.504707
257,23.285374
258,22.075283
259,22.405945
260,22.406488
261,20.696861
262,23.898619
263,24.026924
264,22.175556
265,25.802214
266,23.087072
267,20.787788
268,22.425085
269,19.784725
270,16.197847
271,17.743654
272,19.048735
273,16.874733
274,19.237309
275,18.490335
276,18.154888
277,22.009167
278,18.73003
279,18.32223
280,18.896187
281,17.080809
282,16.875948
283,16.207186
284,15.238828
285,14.732243
286,19.95554
287,19.583006
288,18.149586
289,21.345066
290,21.448397
291,23.138515
292,23.70099
293,20.765327
294,21.68755
295,18.515272
296,22.75701
297,20.960388
298,23.716099
299,23.248337
300,24.340942
301,26.422972
302,22.895596
303,28.123075
304,27.768309
305,25.294744
306,25.037294
307,26.017796
308,23.08281
309,24.444023
310,22.24907
311,20.451658
312,22.756697
313,22.775982
314,25.2031
315,23.670189
316,22.712551
317,23.397697
318,21.300146
319,23.73422
320,20.105644
321,21.484585
322,22.045847
323,19.342567
324,18.115538
325,19.672367
326,17.941757
327,18.373125
328,19.9686
329,20.364286
330,18.55555
331,18.576336
332,16.891407
333,18.242989
334,15.686056
335,15.571417
336,15.4574585
337,13.226616
338,16.30482
339,14.554662
340,17.449705
341,19.852913
342,18.708609
343,20.56911
344,21.812805
345,25.542532
346,23.222395
347,20.42484
348,21.656326
349,20.839903
350,19.65355
351,22.434477
352,23.034992
353,23.317287
354,23.938677
355,27.359303
356,27.25728
357,26.231535
358,28.152891
359,25.24189
360,26.875982
361,21.93073
362,23.179811
363,20.364483
364,19.839272
365,21.664822
366,23.78343
367,22.331694
368,22.969126
369,22.298866
370,23.476381
371,20.524347
372,21.383873
373,22.834429
374,22.381392
375,22.089954
376,20.712889
377,18.49202
378,19.26133
379,21.689034
380,20.496346
381,20.679598
382,18.38833
383,18.518507
384,19.941103
385,21.88104
386,18.987282
387,18.181732
388,18.073427
389,15.856784
390,16.178883
391,12.533775
392,16.877583
393,14.967591
394,19.78532
395,17.417334
396,20.708397
397,22.073853
398,20.712343
399,21.08175
400,22.588966
401,24.096191
402,21.641624
403,21.746279
404,20.81908
405,23.386341
406,24.639988
407,24.652084
408,26.24549
409,26.009493
410,26.507652
411,27.53926
412,28.500755
413,24.148846
414,25.734312
415,23.497026
416,21.390549
417,20.313154
418,21.178633
419,22.676104
420,21.905127
421,22.554916
422,24.733091
423,20.008842
424,21.690113
425,20.877922
426,23.470972
427,22.273937
428,20.598177
429,18.36766
430,21.31125
431,19.356514
432,20.454168
433,19.379486
434,20.061438
435,20.045013
436,19.784988
437,18.819214
438,18.764887
439,16.96593
440,19.012253
441,17.217138
442,18.871689
443,16.450525
444,14.756083
445,15.245537
446,13.3335495
447,17.986227
448,16.457495
449,17.44817
450,18.81731
451,20.351015
452,21.336695
453,19.919273
454,21.769184
455,21.360369
456,24.592697
457,23.15882
458,23.790478
459,20.380302
460,22.013203
461,22.925121
462,25.783012
463,27.254324
464,25.443348
465,25.558983
466,25.536823
467,24.34238
468,24.020596
469,23.637056
470,19.75993
471,22.188581
472,19.964985
473,25.167126
474,25.326914
475,24.953499
476,24.597668
477,25.093592
478,23.557442
479,20.85742
480,19.740715
481,21.977097
482,22.817505
483,20.200983
484,21.306213
485,19.48146
486,19.340405
487,21.124172
488,18.964727
489,19.724133
490,20.660513
491,16.79314
492,20.401648
493,18.890162
494,15.506892
495,18.154154
496,16.421083
497,16.567219
498,15.803096
499,17.720203
500,18.944553
501,14.515071
502,15.745418
503,16.557018
504,21.144398
505,18.44777
506,19.71727
507,21.806011
508,21.16165
509,23.710781
510,20.671455
511,20.984175
512,23.541607
513,20.601957
514,25.568035
515,22.438278
516,23.44615
517,26.069324
518,27.710361
519,27.448769
520,24.613907
521,24.805332
522,26.978857
523,24.779976
524,20.826855
525,22.914932
526,21.163305
527,23.350906
528,21.367884
529,22.211233
530,21.55499
531,21.58593
532,25.707474
533,22.09164
534,22.7724
535,21.251043
536,22.95996
537,20.512123
538,20.229063
539,18.648064
540,21.977423
541,21.102385
542,22.2237
543,20.742529
544,20.45945
545,18.761127
546,16.308594
547,19.764706
548,19.508625
549,19.919792
550,19.036825
551,17.950811
552,15.669424
553,15.655271
554,17.878342
555,16.929953
556,17.215609
557,17.926647
558,19.72097
559,22.3004
560,23.486816
561,22.617054
562,24.706436
563,23.347866
564,22.227358
565,25.773365
566,25.783052
567,24.835215
568,27.451817
569,27.457188
570,31.638357
571,29.487633
572,31.321314
573,28.228045
574,27.505913
575,22.37177
576,18.145061
577,15.714575
578,14.510002
579,13.99877
580,15.4827795
581,14.175917
582,17.977821
583,17.054638
584,19.336481
585,19.780512
586,19.552605
587,15.2374935
588,15.534768
589,15.36514
590,15.53992
591,14.752009
592,12.451368
593,12.325143
594,13.623338
595,11.164101
596,9.760513
597,6.5974574
598,5.1590776
599,3.5963278
600,3.0139828
601,4.339946
602,3.0990012
603,5.8474016
604,9.336201
605,18.937878
606,40.408028
607,61.14592
608,73.26674
609,65.6602
610,51.416924
611,32.133617
612,21.942686
613,22.056675
614,20.337986
615,22.903154
616,24.907469
617,25.28614
618,26.375235
619,23.600327
620,27.427767
621,25.080534
622,23.216501
623,24.50754
624,21.55468
625,19.802607
626,16.52047
627,18.683605
628,21.38513
629,26.842659
630,27.29516
631,29.047241
632,29.6563
633,29.53549
634,26.41958
635,27.45707
636,24.094498
637,19.959732
638,15.5510435
639,16.232342
640,16.27685
641,14.527729
642,14.58838
643,16.160711
644,15.6797905
645,17.006607
646,18.008448
647,20.179258
648,20.26406
649,19.882706
650,19.966024
651,19.746204
652,18.104097
653,14.681249
654,15.408913
655,15.31203
656,13.387803
657,16.324759
658,15.447147
659,18.123888
660,20.34024
661,19.46894
662,17.179716
663,18.785624
664,16.00911
665,14.51729
666,12.607924
667,13.695388
668,14.40983
669,18.355389
670,19.049683
671,26.566753
672,30.959822
673,35.154068
674,34.614223
675,32.56621
676,28.996077
677,21.462296
678,16.492357
679,10.967899
680,10.28918
681,9.835409
682,11.512274
683,15.040291
684,15.939279
685,20.856863
686,22.225798
687,24.375185
688,24.937378
689,21.866062
690,17.975487
691,18.216608
692,15.081585
693,16.967104
694,17.843468
695,18.018461
696,17.979996
697,20.963484
698,19.054554
699,19.809277
700,19.477907
701,17.077875
702,16.79216
703,13.629991
704,13.137128
705,12.466172
706,11.042528
707,11.482035
708,11.622157
709,13.747096
710,15.781991
711,16.755085
712,19.058392
713,21.061634
714,21.58574
715,24.377508
716,22.522093
717,22.08723
718,19.675447
719,21.312864
720,23.695793
721,25.052397
722,24.298532
723,25.879622
724,24.820467
725,28.02462
726,30.56107
727,30.501291
728,32.6858
729,33.833725
730,36.393898
731,32.75389
732,34.341896
733,32.961502
734,35.974503
735,37.113724
736,35.840477
737,36.844063
738,34.491005
739,29.246841
740,27.066479
741,24.626162
742,22.766869
743,23.47999
744,22.896416
745,22.57038
746,23.277594
747,22.029413
748,21.352285
749,23.641584
750,22.687206
751,19.809351
752,20.442411
753,22.937386
754,21.436043
755,20.961418
756,22.190825
757,22.916348
758,22.061333
759,20.793516
760,18.357922
761,9.533694
762,5.4540215
763,3.9742515
764,3.4237032
765,3.9679132
766,5.2030115
767,6.7361717
768,7.9911175
769,13.054691
770,12.379962
771,13.813101
772,17.448519
773,13.170869
774,7.526847
775,11.316001
776,15.858218
777,18.991192
778,22.765142
779,22.121593
780,21.756397
781,18.895761
782,14.334302
783,8.808054
784,3.9765406
785,1.5893368
786,1.5106958
787,0.78118604
788,0.26200736
789,0.19408646
790,0.79224885
791,1.5231202
792,10.213298
793,44.63569
794,98.69851
795,141.54065
796,115.347786
797,55.196938
798,24.030912
799,7.2018104
800,7.6192517
801,8.734559
802,16.228468
803,26.999657
804,23.9413
805,23.072117
806,15.519583
807,16.636019
808,16.515535
809,12.794079
810,8.849744
811,6.968944
812,3.4993668
813,5.3488927
814,15.6634
815,36.723377
816,59.061344
817,61.976368
818,46.036747
819,34.830753
820,24.720356
821,22.915054
822,24.618652
823,21.637949
824,19.352266
825,15.891375
826,12.805578
827,16.247696
828,19.904757
829,23.436691
830,24.955446
831,25.705942
832,29.153807
833,22.29058
834,21.100842
835,17.380146
836,23.994743
837,21.163109
838,23.80978
839,26.544035
840,28.345972
841,29.9113
842,28.13768
843,29.411045
844,25.936724
845,22.21935
846,17.926609
847,14.932565
848,15.683374
849,16.983618
850,17.304703
851,17.808708
852,19.866539
853,19.857937
854,18.59685
855,21.035694
856,20.198051
857,19.201609
858,19.550217
859,16.624086
860,14.603713
861,14.365835
862,15.051972
863,15.752861
864,17.03484
865,16.408876
866,19.355484
867,22.302513
868,21.889105
869,23.532513
870,22.17681
871,23.329954
872,22.520317
873,22.485796
874,22.480175
875,25.83447
876,24.489233
877,24.278236
878,27.745338
879,31.32951
880,28.626982
881,31.940891
882,32.08711
883,30.044641
884,29.965427
885,28.03623
886,25.543266
887,23.91034
888,22.720469
889,19.807945
890,17.746832
891,18.586222
892,16.785131
893,11.683454
894,12.358141
895,9.534389
896,8.685042
897,8.223432
898,7.906393
899,8.263529
900,9.543546
901,11.378859
902,12.261543
903,10.391496
904,8.740265
905,7.125865
906,6.067559
907,5.5279217
908,2.7562246
909,3.5918033
910,2.6573215
911,1.0138903
912,1.8889955
913,3.2008104
914,4.563125
915,6.2519975
916,9.599617
917,11.489873
918,16.651817
919,14.175311
920,12.02113
921,12.740797
922,18.468517
923,29.066357
924,48.1935
925,63.246284
926,65.935776
927,61.510887
928,39.894142
929,18.993206
930,9.711056
931,5.1102715
932,5.7891207
933,6.6664534
934,7.0536036
935,8.9939785
936,12.142617
937,12.9893055
938,17.970114
939,19.760538
940,24.633612
941,26.166355
942,24.908947
943,23.954126
944,19.181398
945,18.814388
946,21.88543
947,31.636345
948,44.85873
949,63.85568
950,74.41586
951,80.099884
952,63.763832
953,45.500546
954,30.724758
955,20.675072
956,16.25441
957,15.28884
958,17.479698
959,18.863981
960,22.169258
961,22.197851
962,24.340935
963,25.301088
964,27.226536
965,22.397871
966,21.66803
967,19.411907
968,17.474298
969,17.547997
970,17.629942
971,20.034872
972,22.021904
973,23.259598
974,20.07763
975,21.896042
976,20.207268
977,21.159233
978,21.029396
979,20.741352
980,17.741137
981,15.956479
982,18.038012
983,17.206043
984,21.968994
985,20.755312
986,27.231085
987,24.762589
988,24.16593
989,24.300322
990,19.58827
991,22.569408
992,19.968464
993,19.590193
994,19.064842
995,18.993345
996,22.60057
997,22.482952
998,22.076347
999,21.328432
1000,19.945593
1001,20.525942
1002,18.561384
1003,20.326887
1004,16.63416
1005,19.721073
1006,20.044178
1007,17.752665
1008,19.292515
1009,20.77602
1010,17.706367
1011,22.71177
1012,19.066717
1013,17.873766
1014,19.461859
1015,17.608824
1016,15.736703
1017,16.019482
1018,19.105694
1019,16.368479
1020,19.374794
1021,20.691307
1022,23.17323
1023,22.271727
1024,22.798235
1025,24.81377
1026,24.219563
1027,26.296453
1028,25.666847
1029,26.515802
1030,23.261187
1031,26.279844
1032,22.939714
1033,26.896545
1034,26.41937
1035,26.603968
1036,28.778976
1037,27.539156
1038,28.229908
1039,24.492577
1040,21.282942
1041,21.835957
1042,22.942215
1043,18.373056
1044,21.52084
1045,21.129961
1046,20.91261
1047,22.296406
1048,21.84775
1049,18.995401
1050,21.059471
1051,20.73893
1052,23.944101
1053,19.325811
1054,20.229755
1055,19.57819
1056,18.383186
1057,21.105488
1058,17.890936
1059,20.158579
1060,16.736109
1061,18.05035
1062,16.633747
1063,19.406435
1064,14.879138
1065,17.486517
1066,17.988148
1067,16.281218
1068,21.11073
1069,20.78003
1070,25.142345
1071,24.81869
1072,22.308863
1073,23.953144
1074,28.158718
1075,25.098993
1076,27.665932
1077,28.932806
1078,24.199116
1079,24.185583
1080,24.124056
1081,20.015953
1082,23.787233
1083,21.137962
1084,20.424416
1085,19.891254
1086,21.54329
1087,20.90788
1088,20.322803
1089,21.01367
1090,21.047005
1091,20.964764
1092,22.56872
1093,20.781767
1094,20.80261
1095,22.385054
1096,19.387838
1097,18.097324
1098,17.304327
1099,20.250486
1100,19.449728
1101,19.145817
1102,18.575878
1103,20.479443
1104,18.081484
1105,16.398352
1106,16.735504
1107,15.313367
1108,13.810608
1109,15.1260605
1110,15.100119
1111,14.762143
1112,19.540422
1113,20.022802
1114,21.020056
1115,21.700006
1116,23.40423
1117,21.788076
1118,20.162098
1119,24.592373
1120,21.798613
1121,21.350334
1122,23.385492
1123,25.310379
1124,22.131662
1125,26.12063
1126,25.548796
1127,27.907473
1128,30.780752
1129,24.800005
1130,26.454462
1131,26.057993
1132,22.691822
1133,20.952116
1134,17.911026
1135,22.082561
1136,22.763151
1137,19.288963
1138,20.99496
1139,23.686424
1140,21.651917
1141,21.4309
1142,22.161299
1143,21.75382
1144,20.334703
1145,17.563137
1146,20.143059
1147,19.526875
1148,18.432877
1149,17.949133
1150,18.348503
1151,19.629555
1152,19.674578
1153,17.39194
1154,19.333214
1155,20.45269
1156,17.401735
1157,17.893324
1158,16.146923
1159,14.674024
1160,14.846383
1161,13.84936
1162,14.618225
1163,16.496258
1164,18.760918
1165,18.062172
1166,22.306047
1167,22.616665
1168,24.68436
1169,26.227673
1170,22.46815
1171,23.397367
1172,25.12094
1173,24.522493
1174,22.203997
1175,22.258606
1176,21.875637
1177,26.163263
1178,27.251595
1179,26.605234
1180,30.12135
1181,24.1819
1182,28.038002
1183,27.191599
1184,25.004597
1185,24.236322
1186,23.086332
1187,20.389194
1188,22.104609
1189,23.96549
1190,21.035957
1191,24.479223
1192,24.437334
1193,20.922678
1194,24.030779
1195,22.636189
1196,23.59001
1197,20.548515
1198,22.237654
1199,20.53731
1200,18.397015
1201,18.473612
1202,20.940737
1203,18.88927
1204,18.509613
1205,17.805443
1206,17.81025
1207,19.22483
1208,17.102049
1209,19.158789
1210,18.247381
1211,16.115911
1212,14.145899
1213,16.46672
1214,16.272661
1215,16.246683
1216,20.071695
1217,18.17364
1218,19.46996
1219,21.673203
1220,23.31927
1221,22.204134
1222,25.653667
1223,22.180832
1224,20.246222
1225,20.299025
1226,21.89971
1227,24.102713
1228,27.10619
1229,23.504505
1230,26.321848
1231,27.0776
1232,28.550426
1233,28.998228
1234,29.655668
1235,27.577276
1236,27.092495
1237,22.211199
1238,20.854404
1239,23.504362
1240,21.865973
1241,22.391102
1242,22.572866
1243,19.648531
1244,23.199379
1245,21.129541
1246,20.791685
1247,22.29104
1248,22.369183
1249,20.886452
1250,20.445093
1251,18.849174
1252,17.504341
1253,17.34631
1254,17.654757
1255,20.99955
1256,19.953226
1257,18.427885
1258,18.990185
