,0
0,2.8448648
1,2.4405837
2,3.197557
3,2.3263686
4,2.2355392
5,2.6657865
6,2.2465684
7,3.1317093
8,2.9723518
9,2.8975685
10,2.2763472
11,3.1696644
12,2.5787542
13,2.6874201
14,2.7258365
15,2.7290769
16,2.3934448
17,2.7716033
18,2.6804414
19,2.8788805
20,2.5191538
21,2.2653577
22,3.1428168
23,2.4629939
24,2.3502464
25,2.34927
26,2.9756699
27,2.4924967
28,3.2917776
29,2.5723662
30,3.3867273
31,2.2200027
32,2.1640024
33,2.3419816
34,3.181394
35,2.3892958
36,3.0303574
37,2.9321516
38,2.151736
39,2.9005833
40,2.315891
41,3.0445347
42,3.2744718
43,2.9707642
44,3.2161834
45,2.595439
46,2.311666
47,3.3874793
48,1.8836533
49,2.685756
50,2.261834
51,2.2494307
52,2.3671453
53,2.305503
54,2.6973689
55,2.59193
56,2.1551464
57,2.0032876
58,2.3383658
59,2.2171295
60,2.450297
61,2.711254
62,2.6542065
63,2.3660235
64,2.9264803
65,2.6412363
66,2.8642418
67,2.9136362
68,2.6349282
69,3.1739218
70,2.8267171
71,3.260022
72,2.649339
73,2.7479355
74,3.0018358
75,2.12445
76,2.9300568
77,2.4907417
78,4.0074058
79,2.6810365
80,2.3919368
81,2.6131284
82,2.6371884
83,2.5808215
84,2.1672716
85,2.444045
86,3.5710747
87,2.6978638
88,2.82997
89,2.6896288
90,3.2402956
91,2.2433898
92,2.165306
93,2.9570131
94,2.6391795
95,2.5202994
96,3.1368692
97,3.3868427
98,3.324332
99,2.3730795
100,3.1268823
101,3.0450828
102,2.5999417
103,2.4470158
104,3.0918427
105,2.907251
106,2.8708658
107,2.2460318
108,3.194091
109,2.6535838
110,2.0702639
111,3.3622735
112,2.0985577
113,3.6187615
114,2.6586688
115,2.837895
116,2.5893064
117,2.932472
118,3.027164
119,2.2994614
120,2.3164353
121,2.3353436
122,2.696199
123,2.8642898
124,2.4546926
125,2.5770285
126,2.0767362
127,2.9084952
128,2.060108
129,2.5814867
130,3.0068116
131,2.3922465
132,2.3566484
133,2.3476987
134,2.7492523
135,2.74736
136,2.546746
137,2.7859495
138,3.2075064
139,3.0594285
140,2.5466533
141,2.4573958
142,2.5966058
143,3.048109
