,0
0,2.0636506
1,2.05828
2,2.0638905
3,2.065129
4,2.0641418
5,2.0604682
6,2.0517178
7,2.0492404
8,2.0517309
9,2.0500913
10,2.0501719
11,2.0507026
12,2.0491705
13,2.0489957
14,2.0526605
15,2.0514064
16,2.0543065
17,2.0520616
18,2.049553
19,2.0529022
20,2.0546372
21,2.0517685
22,2.0559926
23,2.0553415
24,2.0577931
25,2.057358
26,2.0630774
27,2.0500557
28,2.0566149
29,2.0549376
30,2.051927
31,2.0546494
32,2.0566466
33,2.0550272
34,2.0505674
35,2.0548573
36,2.0474813
37,2.0448036
38,2.0527008
39,2.041913
40,2.038363
41,2.0356078
42,2.0362835
43,2.034386
44,2.0400949
45,2.0470667
46,2.047084
47,2.0496147
48,2.0562391
49,2.0489914
50,2.037562
51,2.0393112
52,2.0366578
53,2.035448
54,2.0427704
55,2.0510783
56,2.0508263
57,2.0510387
58,2.0496516
59,2.0498168
60,2.047544
61,2.0479116
62,2.0448756
63,2.047676
64,2.0476627
65,2.0510209
66,2.0522072
67,2.0540128
68,2.056109
69,2.0614042
70,2.0620344
71,2.060076
72,2.059314
73,2.0641663
74,2.0604067
75,2.061785
76,2.06477
77,2.063977
78,2.0632386
79,2.06456
80,2.0639837
81,2.0587163
82,2.060214
83,2.0623837
84,2.0602067
85,2.0565522
86,2.0573976
87,2.0589864
88,2.0574398
89,2.0580604
90,2.0583017
91,2.0547724
92,2.0630472
93,2.0643768
94,2.057835
95,2.053866
96,2.0544806
97,2.0483015
98,2.0554335
99,2.054144
100,2.0572617
101,2.053632
102,2.0599785
103,2.0542376
104,2.047344
105,2.0429308
106,2.04337
107,2.0385745
108,2.040053
109,2.033914
110,2.0411806
111,2.0415885
112,2.0444868
113,2.0490332
114,2.0523577
115,2.0534892
116,2.0535107
117,2.0415413
118,2.0397837
119,2.0405583
120,2.0425484
121,2.0463438
122,2.0454316
123,2.0515363
124,2.0502653
125,2.0490835
126,2.0461664
127,2.0452454
128,2.043415
129,2.046666
130,2.0493968
131,2.053651
132,2.0540624
133,2.0594442
134,2.0581617
135,2.0607626
136,2.0637994
137,2.057811
138,2.069568
139,2.0622606
140,2.0602338
141,2.0550416
142,2.0625908
143,2.0619068
144,2.0572855
145,2.0580094
146,2.0607924
147,2.0561683
148,2.0621939
149,2.0557625
150,2.0647094
151,2.0564203
152,2.0653996
153,2.061533
154,2.055906
155,2.0580828
156,2.059497
157,2.054391
158,2.058908
159,2.0572236
160,2.0596852
161,2.0569334
162,2.0574777
163,2.0616934
164,2.0585968
165,2.0591412
166,2.0567827
167,2.06003
168,2.0522692
169,2.0559187
170,2.0570507
171,2.0548666
172,2.048048
173,2.0423942
174,2.0348964
175,2.0326629
176,2.0229282
177,2.0354433
178,2.0358567
179,2.053947
180,2.0737998
181,2.0531535
182,2.047373
183,2.0453684
184,2.0347757
185,2.047205
186,2.084828
187,2.114681
188,2.0775962
189,2.064448
190,2.0406427
191,2.0326672
192,2.065194
193,2.0726004
194,2.0916016
195,2.103966
196,2.1068177
197,2.111435
198,2.1889415
199,2.1588335
200,2.077417
201,2.0825431
202,2.0763888
203,2.047049
204,2.0487409
205,2.0724742
206,2.0521445
207,2.0646563
208,2.0601385
209,2.0471537
210,2.0257726
211,2.0263572
212,2.0486479
213,2.0848675
214,2.086545
215,2.464668
216,3.5143964
217,3.4525416
218,2.6630666
219,2.423504
220,2.0959399
221,2.0803962
222,2.2368188
223,2.2996836
224,2.3161407
225,2.173442
226,2.0610366
227,1.9701905
228,1.9439249
229,2.0127954
230,2.0020814
231,2.0306969
232,2.0281
233,2.0012262
234,1.9713678
235,1.94919
236,1.9785047
237,1.9758223
238,1.9813354
239,1.9171214
240,1.9521976
241,1.9776214
242,1.986743
243,2.023057
244,2.0211983
245,2.0689535
246,2.0572097
247,2.0912218
248,2.0679963
249,2.0235534
250,1.9928055
251,1.9758469
252,1.9781966
253,2.055334
254,2.02243
255,2.035175
256,2.0371196
257,2.0400765
258,2.018436
259,1.997612
260,1.9864872
261,1.9573822
262,1.9702785
263,1.9605218
264,2.0294142
265,2.3479147
266,2.2708268
267,1.9714125
268,1.8848904
269,1.9060798
270,1.9993013
271,2.0900738
272,2.0472417
273,2.0491865
274,1.9955505
275,2.0159602
276,1.9584485
277,1.943826
278,1.9504935
279,1.9629496
280,1.9694241
281,1.9619777
282,1.9564924
283,1.9510295
284,1.9409192
285,1.9633403
286,1.9725134
287,1.973708
288,1.9437364
289,1.9416596
290,1.9588186
291,1.9664251
292,1.9666356
293,1.9657784
294,1.9857854
295,2.0232565
296,2.0159986
297,2.0264785
298,1.9921544
299,2.0140548
300,2.0093555
301,2.0519814
302,2.0680277
303,2.0107436
304,2.0016208
305,2.0262158
306,2.0350246
307,2.05215
308,2.0278764
309,2.0249648
310,2.0345922
311,2.025111
312,2.0295362
313,2.0355515
314,2.0634227
315,2.0442781
316,2.0923948
317,2.1599162
318,2.1944785
319,2.0746505
320,2.0542388
321,2.09243
322,2.2622118
323,2.197075
324,2.0938826
325,2.067542
326,2.0598962
327,2.0563467
328,2.0432284
329,2.063054
330,2.0584862
331,2.0508986
332,2.0463517
333,2.0464904
334,2.060132
335,2.0754225
336,2.0709786
337,2.0801234
338,2.0667696
339,2.0490065
340,2.044271
341,2.050362
342,2.0418403
343,2.0451221
344,2.0495584
345,2.0516806
346,2.0601935
347,2.0541396
348,2.0811563
349,2.0911539
350,2.0480726
351,2.0514889
352,2.0554028
353,2.0771263
354,2.0720196
355,2.0570922
356,2.0632486
357,2.0588207
358,2.069338
359,2.0577161
360,2.0540757
361,2.0506806
362,2.0492804
363,2.0529954
364,2.0557516
365,2.0572536
366,2.0632834
367,2.0642252
368,2.0681458
369,2.0660245
370,2.0654786
371,2.067251
372,2.0660822
373,2.0676422
374,2.0709229
375,2.0653396
376,2.064338
377,2.0664124
378,2.0686965
379,2.0706184
380,2.0653381
381,2.0666783
382,2.0633857
383,2.064736
384,2.068033
385,2.0691721
386,2.0712318
387,2.0644567
388,2.0687938
389,2.0730016
390,2.062262
391,2.0689328
392,2.0671797
393,2.067053
394,2.0623364
395,2.0675247
396,2.0656388
397,2.0626185
398,2.0645325
399,2.063189
400,2.0618699
401,2.0644686
402,2.0614245
403,2.0501912
404,2.048589
405,2.0504923
406,2.0505843
407,2.0482259
408,2.0444021
409,2.054416
410,2.051303
411,2.0575073
412,2.0605156
413,2.0627491
414,2.060927
415,2.0620785
416,2.0560093
417,2.0548077
418,2.0559592
419,2.056347
420,2.0551636
421,2.053036
422,2.053182
423,2.0588098
424,2.0567687
425,2.0550964
426,2.0550616
427,2.057553
428,2.0540867
429,2.0565898
430,2.061819
431,2.058039
432,2.0664
433,2.062752
434,2.0666974
435,2.0634508
436,2.0720437
437,2.0742025
438,2.0711281
439,2.0646992
440,2.0643644
441,2.0631452
442,2.0662441
443,2.06411
444,2.0706282
445,2.066941
446,2.0686414
447,2.0656986
448,2.0632844
449,2.062893
450,2.0628097
451,2.065134
452,2.065128
453,2.06293
454,2.061983
455,2.0760717
456,2.0682502
457,2.0636852
458,2.0680363
459,2.0648184
460,2.0677
461,2.0707045
462,2.0682347
463,2.0660532
464,2.0674021
465,2.065212
466,2.067961
467,2.0666802
468,2.0609243
469,2.0670848
470,2.0642464
471,2.068625
472,2.0617478
473,2.0641954
474,2.054377
475,2.0543206
476,2.0550723
477,2.0511584
478,2.048158
479,2.0545647
480,2.0508878
481,2.049847
482,2.0572305
483,2.0604846
484,2.0616474
485,2.058876
486,2.0583074
487,2.056063
488,2.054564
489,2.051191
490,2.0573826
491,2.0521176
492,2.054222
493,2.0610435
494,2.0570269
495,2.053441
496,2.0533805
497,2.0519102
498,2.0546076
499,2.058396
500,2.0513468
501,2.050526
502,2.0590973
503,2.0614393
504,2.068471
505,2.0674043
506,2.067545
507,2.0739307
508,2.0712748
509,2.066013
510,2.0694463
511,2.0661898
512,2.0602522
513,2.0623667
514,2.0654497
515,2.0682523
516,2.0652895
517,2.068862
518,2.0641537
519,2.0728269
520,2.0628557
521,2.0693858
522,2.065049
523,2.0675297
524,2.0663347
525,2.0645747
526,2.0690322
527,2.06553
528,2.068247
529,2.0692973
530,2.061683
531,2.0641363
532,2.066601
533,2.0634458
534,2.060494
535,2.0644681
536,2.0625176
537,2.0657892
538,2.0673258
539,2.0673711
540,2.0682473
541,2.0665343
542,2.069061
543,2.0624616
544,2.0567904
545,2.0515928
546,2.0501175
547,2.0457792
548,2.047417
549,2.045411
550,2.048381
551,2.0531533
552,2.065513
553,2.0609846
554,2.0609536
555,2.0622373
556,2.0601647
557,2.0529625
558,2.058895
559,2.053988
560,2.051747
561,2.0538294
562,2.0531158
563,2.0540621
564,2.0524898
565,2.0590355
566,2.0575838
567,2.0613787
568,2.0556607
569,2.0528963
570,2.0568383
571,2.060126
572,2.0627942
573,2.0632114
574,2.0724304
575,2.0707965
576,2.0690093
577,2.0729785
578,2.0679064
579,2.065188
580,2.0652971
581,2.0674899
582,2.0671659
583,2.0637043
584,2.0659797
585,2.0684223
586,2.0698872
587,2.0689936
588,2.0681124
589,2.0656087
590,2.0629792
591,2.0688155
592,2.0613105
593,2.0682056
594,2.0682766
595,2.068733
596,2.0682614
597,2.0663686
598,2.0616105
599,2.066157
600,2.0672097
601,2.0703049
602,2.0603495
603,2.0693722
604,2.061741
605,2.074703
606,2.0648715
607,2.0645072
608,2.068794
609,2.0609734
610,2.0690503
611,2.0587935
612,2.0628364
613,2.0554984
614,2.046701
615,2.048848
616,2.056786
617,2.058796
618,2.0497148
619,2.0492408
620,2.0587268
621,2.0635314
622,2.060803
623,2.0601115
624,2.0585961
625,2.0471613
626,2.0540311
627,2.0427685
628,2.049344
629,2.0535374
630,2.0523934
631,2.0420408
632,2.0415175
633,2.045347
634,2.0476675
635,2.0500638
636,2.0474207
637,2.054387
638,2.0622098
639,2.0732093
640,2.0705056
641,2.0626802
642,2.0671122
643,2.0632048
644,2.0590966
645,2.059989
646,2.0490756
647,2.0507607
648,2.053135
649,2.0513096
650,2.0578153
651,2.065013
652,2.059722
653,2.065734
654,2.07012
655,2.0698786
656,2.0640595
657,2.0679724
658,2.0696063
659,2.0625288
660,2.0636816
661,2.063823
662,2.0616262
663,2.0598922
664,2.0605001
665,2.0636408
666,2.0608032
667,2.0587132
668,2.067662
669,2.0784955
670,2.077247
671,2.0650864
672,2.062984
673,2.072001
674,2.0629306
675,2.056939
676,2.0603948
677,2.0607295
678,2.0641143
679,2.0558417
680,2.0620437
681,2.0575767
682,2.060255
683,2.0544236
684,2.0527658
685,2.0518262
686,2.0460296
687,2.0486052
688,2.048454
689,2.057061
690,2.0565424
691,2.0605662
692,2.0571985
693,2.0592158
694,2.0537078
695,2.0564063
696,2.054019
697,2.0488734
698,2.051097
699,2.059677
700,2.0544465
701,2.0537374
702,2.0517879
703,2.0556197
704,2.04951
705,2.0512197
706,2.0526626
707,2.0497167
708,2.055198
709,2.0517836
710,2.0534618
711,2.0552096
712,2.0688796
713,2.0641105
714,2.062691
715,2.061565
716,2.067429
717,2.0698988
718,2.0625985
719,2.0612361
720,2.0659187
721,2.0682287
722,2.0628457
723,2.0649507
724,2.066559
725,2.0671089
726,2.0657086
727,2.0599508
728,2.061708
729,2.0609243
730,2.0622923
731,2.061253
732,2.063885
733,2.0697994
734,2.0669544
735,2.073795
736,2.078168
737,2.0844927
738,2.0647652
739,2.0640047
740,2.0510478
741,2.0595846
742,2.0565484
743,2.0983381
744,2.0587564
745,2.0800622
746,2.0537438
747,2.041689
748,2.0421522
749,2.0519364
750,2.0619552
751,2.0883436
752,2.0849168
753,2.0644643
754,2.077899
755,2.0636218
756,2.072806
757,2.0797398
758,2.0640848
759,2.0476801
760,2.0437155
761,2.0461025
762,2.0326066
763,2.0518038
764,2.0701623
765,2.0444045
766,2.0373313
767,2.0280812
768,2.0352802
769,2.0546708
770,2.0661302
771,2.1330621
772,2.843341
773,2.9544473
774,2.4303882
775,2.1540847
776,2.0659275
777,2.0543401
778,2.0932198
779,2.0778499
780,2.0867972
781,2.051969
782,2.0430017
783,2.0396717
784,2.036332
785,2.0678487
786,2.0633025
787,2.0672755
788,2.0633295
789,2.0516748
790,2.0416203
791,2.0290296
792,2.0472312
793,2.0540571
794,2.0439496
795,2.0479565
796,2.0454879
797,2.0363526
798,2.048429
799,2.079615
800,2.1200857
801,2.0941596
802,2.0830336
803,2.1007912
804,2.0983815
805,2.038215
806,2.044389
807,2.0566278
808,2.050926
809,2.067867
810,2.0429113
811,2.0514183
812,2.053811
813,2.0468557
814,2.0439756
815,2.048369
816,2.0464382
817,2.049678
818,2.0462437
819,2.0508854
820,2.0586712
821,2.0608425
822,2.0686197
823,2.0574183
824,2.0597079
825,2.0440023
826,2.0465724
827,2.0523136
828,2.0452507
829,2.048297
830,2.0499234
831,2.0682108
832,2.0634482
833,2.0485747
834,2.0543993
835,2.050415
836,2.0467193
837,2.044674
838,2.0444956
839,2.0505702
840,2.0527956
841,2.0523245
842,2.0624626
843,2.0633986
844,2.0603046
845,2.0586665
846,2.0588715
847,2.0590804
848,2.061305
849,2.0555396
850,2.0585055
851,2.0586956
852,2.0568247
853,2.0558355
854,2.0560644
855,2.058593
856,2.0565605
857,2.059126
858,2.058099
859,2.0644042
860,2.0566206
861,2.0556486
862,2.0580366
863,2.0612338
864,2.0635073
865,2.0521312
866,2.0535085
867,2.0526292
868,2.0533571
869,2.0466065
870,2.0491288
871,2.0485413
872,2.0541408
873,2.061098
