,0
0,0.5268865
1,0.38825154
2,0.39484078
3,0.35450637
4,0.4245154
5,0.34717566
6,0.46113497
7,0.5333679
8,0.6589659
9,0.3761883
10,0.56728303
11,0.51903707
12,0.3702761
13,0.9981876
14,0.48612377
15,0.64586395
16,0.71089774
17,0.47853348
18,0.50636935
19,1.2410858
20,1.1656866
21,0.8951588
22,0.42190018
23,2.2910504
24,3.9648063
25,2.4730215
26,0.9019019
27,1.4120687
28,2.0358627
29,1.1889244
30,2.3454292
31,0.776789
32,2.6501498
33,1.2475057
34,0.95819056
35,0.8093779
36,2.0200064
37,0.59168375
38,0.4619603
39,0.42330495
40,1.1448262
41,1.0050441
42,0.5877965
43,0.3257036
44,1.2070545
45,0.9137745
46,1.0307537
47,1.4875246
48,0.9045741
49,0.875241
50,0.4390193
51,0.33853236
52,0.4114467
53,0.6341089
54,0.3462926
55,0.5554187
56,0.4388523
57,0.33788642
58,0.4230791
59,0.45155337
60,0.43678638
61,0.46515694
62,0.7952862
63,0.38662335
64,0.6248696
65,0.69126606
66,0.38950348
67,0.4027089
68,1.1684803
69,0.4255496
70,0.7933498
71,1.4821696
72,0.7272533
73,1.1025721
74,0.48478898
75,1.0826681
76,0.5283988
77,0.76152676
78,1.6419724
79,1.3792624
80,5.441327
81,1.7765551
82,2.9122055
83,1.4602603
84,0.5111422
85,0.8820531
86,0.81341785
87,0.7504734
88,1.1261442
89,1.5159706
90,1.6229357
91,1.2708515
92,2.7537389
93,0.9890934
94,0.46247962
95,0.4368329
96,1.0401565
97,1.1882076
98,0.6483775
99,0.38558128
100,0.64717716
101,0.3442656
102,0.4450369
103,0.3425843
104,0.49569428
105,0.7567001
106,0.6129186
107,0.90116876
108,0.37496367
109,0.42223808
110,0.5711938
111,0.47181305
112,0.92179847
113,0.37931484
114,0.3483568
115,0.4990672
116,0.3918202
117,1.0091927
118,0.54874146
119,0.5365915
120,0.48024827
121,0.44994226
122,0.8285188
123,0.6447575
124,1.1489788
125,1.3652135
126,1.2119893
127,0.96721697
128,0.40611598
129,0.5576128
130,0.58453053
131,1.360942
132,0.6847494
133,0.6220106
134,1.5694257
135,1.3128906
136,1.1101216
137,1.0080918
138,1.030496
139,1.2630222
140,1.706681
141,1.0387226
142,0.8589775
143,0.80095345
144,0.93081576
145,0.5907737
146,0.9896835
147,0.7199947
148,0.43221268
149,0.53582567
150,0.5662841
151,0.7887851
152,0.5590715
153,0.3283191
154,0.8330451
155,0.6270616
156,0.43257394
157,0.43403447
158,0.523208
159,0.4674612
160,0.4687974
161,0.38280478
162,0.33280745
163,0.3516289
164,0.3791478
165,0.36745393
166,0.7942185
167,0.5374497
168,0.45269144
169,0.38489398
170,0.34111738
171,0.71279514
172,0.5588089
173,1.414376
174,0.58585984
175,0.5820568
176,0.53457373
177,0.6743148
178,0.6650785
179,1.7759749
180,0.7990907
181,0.8145799
182,1.7654737
183,0.49264795
184,0.62728083
185,0.8553497
186,1.0343746
187,0.4605412
188,1.5155267
189,2.1173465
190,2.547726
191,2.470658
192,0.64718217
193,2.0851161
194,1.305503
195,1.351692
196,0.8917868
197,1.0658396
198,1.9543359
199,1.0973008
200,1.8908051
201,0.53947246
202,0.34035182
203,0.45423
204,0.44713965
205,0.5337767
206,1.2714692
207,0.36775765
208,0.8051684
209,0.76234883
210,0.6788299
211,0.7282101
212,0.45996478
213,0.7578388
214,0.34524035
215,0.5103235
216,0.3648851
217,0.3806987
218,0.40048248
219,0.6942473
220,0.65451235
221,0.41498125
222,0.37988192
223,1.122573
224,0.39511424
225,0.38461396
226,0.56015766
227,0.35631192
228,0.37209734
229,0.39309826
230,0.7062366
231,0.4432839
