,0
0,15.274915
1,14.000722
2,14.190799
3,14.068016
4,11.962888
5,10.535186
6,11.806436
7,10.452453
8,11.650932
9,12.130434
10,11.4536495
11,11.135319
12,12.379963
13,11.971597
14,12.0851555
15,11.052211
16,12.766638
17,11.786501
18,12.203266
19,10.69264
20,10.730575
21,11.0818815
22,11.914681
23,13.363696
24,13.344002
25,6.6200867
26,4.8140607
27,4.9985056
28,5.3064566
29,4.8096056
30,5.748635
31,4.897424
32,5.0544424
33,5.137197
34,4.913835
35,5.591481
36,4.9220653
37,4.813719
38,4.9527006
39,5.1145916
40,4.749468
41,5.1524906
42,4.8693438
43,5.3750377
44,5.9469705
45,6.3806877
46,7.5386457
47,7.864514
48,11.050199
49,14.211361
50,12.071881
51,12.824258
52,10.037823
53,12.89592
54,12.566013
55,10.969822
56,11.082195
57,11.85176
58,10.946814
59,11.407058
60,11.1934595
61,10.717616
62,6.410253
63,5.859682
64,5.601616
65,6.8403
66,7.221449
67,6.454426
68,7.1146154
69,6.1222043
70,6.396702
71,4.7656927
72,5.2672143
73,5.6515565
74,5.221314
75,5.8066106
76,4.7396545
77,5.407942
78,5.7715096
79,6.7601075
80,6.497864
81,7.5974073
82,6.053106
83,5.800726
84,8.641395
85,12.503849
86,12.75705
87,13.0394535
88,12.487151
89,13.442536
90,12.565554
91,11.330109
92,11.383558
93,10.667119
94,11.723459
95,10.67339
96,9.398373
97,12.330285
98,7.588186
99,6.211086
100,5.954312
101,6.205054
102,6.0961437
103,7.1091638
104,7.9519615
105,5.8973393
106,5.409088
107,5.3470926
108,6.0213537
109,5.3247766
110,5.832249
111,4.607577
112,4.552237
113,4.636513
114,5.059132
115,5.3639364
116,5.3086433
117,5.9963393
118,6.1564546
119,6.87418
120,7.557996
121,10.281983
122,12.111981
123,14.201477
124,11.951049
125,12.059294
126,12.939549
127,12.528706
128,11.081233
129,11.075225
130,10.283127
131,11.411135
132,10.71627
133,9.330014
134,10.248649
135,7.473867
136,5.5288587
137,6.0808334
138,5.8265786
139,7.2121797
140,6.7146764
141,6.705616
142,6.3748417
143,5.707545
144,6.109589
145,5.515678
146,6.43639
147,5.462831
148,6.500936
149,4.9959893
150,4.9807963
151,5.7148376
152,5.8646603
153,6.6556716
154,6.304111
155,6.9269547
156,7.5193086
157,7.73093
158,10.797886
159,12.36039
160,14.800001
161,14.615325
162,13.432198
163,12.864103
164,13.470374
165,10.975532
166,12.419364
167,10.769088
168,12.165048
169,11.117541
170,10.645411
171,12.149288
172,7.165936
173,6.2646008
174,6.35187
175,6.39519
176,7.4172673
177,7.4101977
178,6.6486106
179,6.1456013
180,6.532395
181,5.858255
182,6.14456
183,6.9973593
184,6.480801
185,5.775044
186,5.9524555
187,5.3939447
188,4.744762
189,5.71764
190,5.387393
191,6.243099
192,7.7132673
193,7.339894
194,7.3706865
195,9.15314
196,10.5949335
197,11.938928
198,12.157528
199,11.079762
200,11.850692
201,12.9011965
202,12.420149
203,10.8422785
204,11.862771
205,13.043665
206,9.954451
207,9.563933
208,13.079322
209,8.119876
210,7.020621
211,6.770087
212,6.792338
213,7.256669
214,8.729131
215,8.7117195
216,7.2345977
217,6.784185
218,5.700097
219,5.9364686
220,7.229996
221,6.4324417
222,5.658924
223,6.348452
224,5.4970994
225,6.5193567
226,6.192181
227,6.8185744
228,5.9103703
229,7.500137
230,7.669623
231,8.38454
232,9.750839
233,10.487436
234,14.293593
235,14.5669565
236,13.210112
237,13.88144
238,12.931582
239,12.4328165
240,10.861153
241,9.926821
242,11.719149
243,9.040633
244,10.906405
245,12.930988
246,10.59774
247,6.514768
248,7.426036
249,6.7854633
250,7.4345555
251,6.6585326
252,8.052621
253,7.5771194
254,6.4674964
255,6.7477703
256,5.90483
257,5.6392045
258,4.8549805
259,6.1219077
260,5.803282
261,5.8395405
262,5.220718
263,5.6014805
264,4.965791
265,5.4290133
266,6.9175835
267,7.071694
268,6.800381
269,7.5835
270,9.780099
271,11.103914
272,12.4613695
273,12.778488
274,12.368427
275,12.414586
276,12.867159
277,12.218672
278,10.572411
279,12.888779
280,11.749714
281,11.476638
282,11.344905
283,13.894066
284,9.337881
285,8.589882
286,8.876191
287,7.3249683
288,5.8534703
289,8.574559
290,7.377898
291,8.1706915
292,8.358578
293,7.0929956
294,6.0707693
295,6.3252497
296,6.116701
297,7.1839976
298,6.141635
299,6.42538
300,5.924982
301,6.143317
302,6.3671627
303,6.3971066
304,7.86437
305,8.435307
306,7.4708023
307,7.957781
308,9.141716
309,11.475739
310,12.529402
311,13.423663
312,13.615976
313,13.4021435
314,11.326998
315,11.514382
316,10.812593
317,11.440262
318,12.517284
319,9.608828
320,11.797439
321,14.244863
322,9.276703
323,7.311274
324,7.27114
325,6.49957
326,6.450245
327,6.804673
328,7.3243947
329,7.045448
330,7.1688232
331,6.48202
332,5.0159855
333,5.3615713
334,4.682102
335,5.050747
336,5.371283
337,6.204003
338,4.5254045
339,5.798149
340,4.8696814
341,4.904841
342,4.985729
343,5.790507
344,5.0976377
345,4.97826
346,6.189177
347,9.622681
348,11.317287
349,11.415091
350,13.707729
351,12.892489
352,11.852235
353,11.946367
354,13.43403
355,11.301898
356,10.130697
357,11.096259
358,9.999313
359,14.5999
360,13.456073
361,13.337714
362,7.516421
363,5.2958245
364,7.2891555
365,7.783261
366,8.910648
367,9.785627
368,10.911648
