,0
0,4.4912887
1,3.7426155
2,4.509171
3,3.5887547
4,3.4954274
5,3.881099
6,3.8690026
7,4.564571
8,4.488922
9,3.8559859
10,3.7395957
11,5.0000334
12,3.5772493
13,3.6595724
14,3.850469
15,4.4042263
16,3.5531087
17,4.501272
18,3.5785842
19,3.981038
20,4.020529
21,3.7704508
22,4.415756
23,4.1372213
24,3.817679
25,4.0902386
26,4.188889
27,3.8525622
28,4.7694283
29,3.722582
30,4.8918796
31,3.7413943
32,3.6363218
33,3.3333967
34,4.237051
35,3.709833
36,4.398766
37,4.285598
38,3.5232933
39,3.6484458
40,3.5516624
41,4.6780753
42,4.626861
43,4.3237553
44,4.5067096
45,4.1470194
46,3.547798
47,4.5680094
48,3.2124584
49,4.131133
50,4.296015
51,4.2035756
52,3.7699032
53,3.533671
54,4.2521944
55,4.0428534
56,3.5746794
57,3.874759
58,3.6894803
59,3.7508667
60,4.2457833
61,3.9145603
62,3.6899292
63,3.6460886
64,4.372155
65,3.854405
66,4.629612
67,4.3750305
68,3.8648696
69,4.443024
70,4.402106
71,4.020905
72,3.5499098
73,4.00378
74,4.056507
75,3.356468
76,4.4132648
77,3.3861935
78,5.4100046
79,3.6844816
80,4.18516
81,3.8759274
82,4.085058
83,3.9985502
84,3.3709855
85,3.735916
86,4.9277334
87,3.6614017
88,3.9501348
89,3.916245
90,4.7942877
91,3.6573956
92,3.6763735
93,4.1607842
94,4.0367503
95,3.9036596
96,4.167076
97,4.2755766
98,5.1000876
99,3.6887958
100,3.8378232
101,3.6997323
102,3.8921666
103,3.790578
104,4.482541
105,4.136027
106,4.1857452
107,3.4450386
108,4.7356277
109,3.9235866
110,3.3370817
111,4.269184
112,3.4829237
113,5.1913085
114,4.2917213
115,3.6925511
116,3.8730175
117,4.0579247
118,3.782294
119,3.8466294
120,3.573425
121,3.6364403
122,3.7987196
123,4.3345613
124,3.7289839
125,4.0922985
126,3.9085636
127,3.8573287
128,3.7164528
129,3.6924214
130,4.365275
131,3.2634368
132,3.5913048
133,4.0074325
134,3.4589648
135,4.170216
136,3.9157417
137,4.345292
138,4.488967
139,4.753319
140,4.338212
141,3.601329
142,4.537043
143,4.1903934
144,2.969818
145,4.3779097
146,4.7077966
147,3.715885
148,3.7400641
149,4.3402886
150,4.992003
151,3.7460556
152,4.5850744
153,4.39442
154,4.7949314
155,3.5914633
156,3.4360247
157,4.860634
158,3.9935186
159,4.9256153
160,4.2371163
161,4.154512
162,4.124318
163,3.4306784
164,3.912492
165,4.0467224
166,4.1892715
167,4.583556
168,3.4628825
169,4.4029484
170,4.311154
171,4.372899
172,3.4367948
173,3.8759181
174,3.8776095
175,4.2191253
176,3.9834201
177,4.0089536
178,3.5837111
179,3.9777002
180,3.51467
181,4.349164
182,4.5410514
183,4.4854116
184,4.063631
185,4.6643543
186,3.8479612
187,3.60193
188,4.287633
189,4.5032625
190,3.616841
191,4.480936
192,4.2928386
193,4.8375297
194,3.9858398
195,3.4579713
196,4.222267
197,4.1208076
198,3.871573
199,4.8802085
200,3.5680883
201,3.5385678
202,4.946359
203,4.619019
204,4.328515
205,4.3750234
206,3.4351683
207,4.2283235
208,2.9862988
209,3.9302385
210,4.5687976
211,4.169655
212,4.155428
213,4.4661984
214,4.010296
215,5.3287582
216,3.8536117
217,3.7872596
218,3.5017793
219,4.18535
220,4.4457226
221,3.5521152
222,4.609725
223,3.8474069
224,4.436955
225,4.0084424
226,4.2281585
227,5.169986
228,3.7745457
229,3.9391303
230,3.5883265
231,4.8371654
232,3.7641206
233,4.1563287
234,4.3043537
235,3.8312738
236,3.925585
237,3.1341355
238,3.861784
239,4.0200014
240,3.6192126
241,4.0199513
242,4.1742306
243,3.769173
244,3.414798
245,3.921842
246,4.4412
247,3.921514
248,3.5313377
249,4.35378
250,3.699543
251,3.6549978
252,4.463379
253,3.743684
254,4.1706095
255,3.9978423
256,4.1572695
257,4.2803826
258,3.8455448
259,4.184986
260,3.8061032
261,3.3512776
262,4.063202
263,4.278304
264,4.4676733
265,3.3694744
266,3.9551535
267,4.0509663
268,4.244747
269,4.4736176
270,3.7373216
271,4.4155216
272,3.6375537
273,4.5717864
274,4.702826
275,3.7060297
276,4.3120127
277,3.1982973
278,3.9551218
279,3.934407
280,3.8371449
281,3.8818274
282,4.430313
283,3.458055
284,3.7659857
285,4.3706527
286,3.3422508
287,4.108726
288,4.8746467
289,4.391068
290,3.8616967
291,4.464505
292,3.7968776
293,4.23741
294,4.2605352
295,4.1422043
296,3.6467605
297,4.5672007
298,4.3180137
299,3.855635
300,3.5708108
301,4.716556
302,3.7870057
303,4.0263786
304,4.1404853
305,3.403629
306,4.8245425
307,3.224021
308,3.0222383
309,3.719255
310,4.1347632
311,3.8974895
312,4.6686273
313,5.0375733
314,3.943202
315,3.918013
316,4.06009
317,4.497171
318,4.5285053
319,3.2677035
320,4.4815416
321,4.2198668
322,4.016529
323,4.285171
324,4.108437
325,4.1914163
326,4.190108
327,3.806039
328,4.1966157
329,4.2062974
330,4.8836703
331,3.655627
332,4.0319414
333,4.402532
334,4.21153
335,3.9934094
336,4.0567365
337,4.7451644
338,4.168881
339,4.524334
340,3.4602535
341,4.187929
342,4.234257
343,3.2803519
344,4.0619993
345,3.7148824
346,4.45818
347,4.2776265
348,4.1374717
349,4.930578
350,3.8777232
351,3.544073
352,3.1467743
353,4.3391075
354,3.9341
355,4.81371
356,3.6406853
357,3.86835
358,4.0893044
359,4.6138883
360,3.597459
361,3.2389653
362,4.050771
363,3.9285715
364,4.3351474
365,4.237459
366,3.43417
367,4.236764
368,4.4017553
369,3.7350078
370,3.815714
371,3.354828
372,3.8258061
373,3.699642
374,4.1105065
375,4.4529495
376,4.336556
377,4.1185036
378,3.487661
379,3.920363
380,4.720871
381,4.4965606
382,4.241954
383,3.92563
384,4.273988
385,4.043112
386,3.749207
387,3.9585826
388,3.7812874
389,3.8882687
390,4.523135
391,3.9301562
392,3.9260862
393,3.7582157
394,4.436486
395,3.6691256
396,4.2512383
397,3.065744
398,3.287564
399,4.6913304
400,4.2094836
401,3.646314
402,4.122232
403,4.5052595
404,4.7990294
405,4.0875034
406,4.118188
407,4.343219
408,3.9032829
409,3.4711351
410,3.397198
411,3.9964676
412,3.6480942
413,4.242091
414,4.316403
415,3.8360577
416,3.9464698
417,4.0149217
418,3.2968705
419,4.4654965
420,3.4550169
421,3.8647335
422,3.6131485
423,4.818673
424,4.0000043
425,3.916114
426,3.7998574
427,4.484784
428,3.6361024
429,3.8361518
430,3.4395823
431,3.3569095
432,3.7821963
433,4.26051
434,4.3293138
435,4.342022
436,3.7117639
437,4.521667
438,3.265123
439,4.015185
440,3.4375217
441,3.0835402
442,4.6440425
443,3.5266285
444,3.9806883
445,4.015134
446,4.1636724
447,4.0460906
448,3.8453488
449,4.539025
450,3.835901
451,4.028608
452,4.4704328
453,3.865017
454,4.177581
455,4.065546
456,3.853913
457,4.399052
458,3.8351502
459,3.7546341
460,3.5368493
461,5.0026045
462,4.171646
463,3.6714692
464,3.6155622
465,3.9885056
466,3.8352218
467,4.1169057
468,4.2299933
469,3.121401
470,3.148336
471,4.546535
472,4.7631927
473,3.4629858
474,3.8040624
475,3.9954727
476,3.5241606
477,3.983813
478,4.2324514
479,3.9646134
480,5.0167346
481,3.379782
482,4.5998907
483,3.7309933
484,3.897269
485,4.0029902
486,3.6739938
487,4.149995
488,4.0640216
489,4.4001136
490,3.49958
491,4.2749834
492,4.2269325
493,3.6676266
494,3.2856958
495,4.673932
496,3.8212662
497,4.4759674
498,4.2525535
499,3.3408933
500,3.6797242
501,3.3126519
502,3.8545747
503,4.518723
504,3.2963505
505,4.1114707
506,4.915395
507,3.58683
508,4.081236
509,4.1851053
510,3.944606
511,4.1520944
512,3.9379323
513,3.6474357
514,5.043257
515,3.3787413
516,3.896875
517,3.995553
518,4.100556
519,2.9214427
520,4.0705085
521,3.1629193
522,4.3214855
523,4.29032
524,4.09621
525,3.9483333
526,4.4418435
527,4.1233773
528,4.406282
529,4.036888
530,4.1465864
531,4.2104216
532,5.3711605
533,4.0804367
534,3.755177
535,3.8420665
536,3.901098
537,4.344962
538,3.9259298
539,4.506376
540,3.950438
541,3.8935015
542,4.463561
543,4.5392766
544,3.6457982
545,3.6344774
546,3.1242218
547,3.961454
548,3.9203112
549,4.565483
550,5.3661113
551,4.519991
552,4.135237
553,4.2024937
554,3.5772626
555,4.040935
556,3.9614031
557,4.6065784
558,4.09715
559,3.534802
560,4.0567484
561,4.4703655
562,4.2996755
563,4.4185977
564,3.8027155
565,4.8737516
566,4.9032435
567,4.343798
568,3.7742803
569,4.0895686
570,3.67725
571,4.6502914
572,4.034437
573,3.7453089
574,4.490902
575,3.0441425
576,3.6105404
577,4.5279512
578,3.6466484
579,3.6297448
580,3.3981795
581,3.805285
582,4.2161007
583,4.031287
584,4.5992246
585,3.6590545
586,3.6226194
587,4.9262505
588,3.247305
589,3.3064816
590,4.056368
591,3.7622623
592,3.9640715
593,3.3764806
594,3.8025134
595,4.2570333
596,4.4946713
597,4.50531
598,4.5037413
599,4.0719924
600,4.357611
601,4.3836803
602,4.5247636
603,3.625962
604,4.3038545
605,4.477681
606,3.277912
607,3.8924706
608,3.2727702
609,4.3233385
610,4.5816836
611,4.1714435
612,4.712529
613,3.595546
614,4.215885
615,3.5731943
616,3.5290382
617,3.8516784
618,3.7266352
619,4.1846747
620,3.581923
621,4.176359
622,3.9903655
623,4.5822296
624,4.2387414
625,4.209704
626,3.3452528
627,4.2427363
628,4.220591
629,4.2083254
630,3.9521255
631,4.024136
632,4.232003
633,4.3962617
634,4.001784
635,3.8156428
636,3.797154
637,3.9311454
638,3.30259
639,3.584539
640,4.1569033
641,3.6763902
642,4.335494
643,4.175736
644,4.285799
645,4.160307
646,5.0455713
647,3.8190513
648,3.7973049
649,3.2918887
650,3.7727985
651,4.6064534
652,4.4350724
653,4.6654496
654,4.385261
655,3.9807281
656,4.564618
657,4.2319345
658,3.6369889
659,3.6971729
660,3.5543516
661,4.149238
662,4.823606
663,4.6598887
664,3.5699203
665,4.122048
666,4.5152693
667,4.318453
668,3.4559913
669,4.0642014
670,4.6172104
671,3.8398974
672,3.9695706
673,3.8221726
674,4.5309124
675,3.930735
676,4.4543314
677,3.32785
678,4.7865987
679,3.3765209
680,4.0186443
681,3.7018752
682,3.2002683
683,3.8230197
684,3.876333
685,4.0357137
686,4.547004
687,3.578501
688,4.2409406
689,4.0452213
690,4.280194
691,4.121698
692,4.028761
693,4.3473787
694,4.3882446
695,4.5543227
696,4.1796575
697,3.6449533
698,3.7617092
699,4.023782
700,4.260941
701,3.8140635
702,4.3018126
703,5.169227
704,4.329019
705,3.561098
706,3.8422816
707,3.7389996
708,4.329653
709,4.6989965
710,4.474758
711,3.480372
712,4.3576713
713,4.2228947
714,3.9619064
715,3.3675091
716,3.7165132
717,4.4570704
718,3.4465694
719,4.13495
720,4.036159
721,3.7618375
722,3.8132026
723,3.9381747
724,3.518891
725,4.416722
726,3.8309522
727,3.999798
728,4.006256
729,3.4078283
730,4.3755126
731,3.9405162
732,3.3870633
733,5.5189276
734,4.2485313
735,3.9358947
736,4.3250384
737,4.678248
738,3.6191893
739,3.731646
740,4.284476
741,4.059666
742,4.0988965
743,3.7269454
744,3.4297206
745,4.4155216
746,3.8187516
747,3.9842508
748,3.6949959
749,4.379764
750,3.5728042
751,3.6726608
752,4.4616404
753,3.968767
754,4.3346596
755,4.1482134
756,4.4787884
757,3.721032
758,4.1623473
759,3.8468874
760,4.508453
761,4.219839
762,4.3380203
763,4.2295146
764,4.064386
765,3.7302022
766,4.126944
767,4.057002
768,4.991978
769,5.263105
770,4.397328
771,3.714154
772,3.4940834
773,4.095984
774,4.009074
775,4.2148266
776,3.8616874
777,3.6862173
778,4.169497
779,3.8151228
780,3.9387603
781,4.503863
782,4.2841043
783,4.482847
784,4.231447
785,4.5447373
786,3.6065397
787,4.6889715
788,4.5269065
789,4.2792697
790,4.619712
791,4.6759763
792,4.2859826
793,4.081731
794,4.207007
795,4.7671294
796,4.555908
797,3.3300822
798,4.3366504
799,4.0302134
800,4.419738
801,3.7387674
802,4.639561
803,5.2865467
804,4.127011
805,3.7441652
806,4.693903
807,3.6008935
808,3.5929358
809,3.6199777
810,4.321757
811,3.8853111
812,4.2134867
813,3.4508586
814,4.2159286
815,5.5934553
816,3.8301299
817,4.1315765
818,4.508992
819,4.30616
820,3.793842
821,3.772594
822,3.988191
823,4.838033
824,4.6381044
825,3.717678
826,3.626046
827,4.3192735
828,3.6066952
829,5.1416078
830,3.8919783
831,4.3921194
832,4.648414
833,3.7771177
834,3.3245056
835,3.9994936
836,3.6371894
837,4.692029
838,3.7638054
839,3.6609862
840,4.2598033
841,3.1058187
842,3.5298471
843,3.881995
844,3.4763386
845,4.2887173
846,4.5848527
847,3.8441894
848,3.5901105
849,4.881034
850,4.6114798
851,3.9266112
852,4.768555
853,4.3697524
854,3.8260345
855,4.978315
856,3.4273846
857,4.2723985
858,3.456561
859,3.5413935
860,3.0057967
861,4.205025
862,3.8012128
863,3.1683216
864,4.3622074
865,4.136224
866,3.7324657
867,4.4354806
868,4.169749
869,3.6453784
870,3.8676589
871,3.4608073
872,3.5768082
873,3.929825
874,4.4152703
875,4.4846983
876,4.0044785
877,4.383396
878,3.9793441
879,4.781405
880,4.1970243
881,3.9406474
882,3.6847641
883,4.4751387
884,4.12108
885,3.5313752
886,4.6705003
887,3.7597194
888,4.808168
889,2.9580042
890,3.0050216
891,3.626747
892,3.542926
893,3.3962843
894,4.0552073
895,4.218165
896,3.6612015
897,3.6779923
898,3.568353
899,3.9159138
900,3.2352004
901,3.6723409
902,4.299096
903,4.2584844
904,4.3041625
905,3.5732117
906,3.88417
907,5.459759
908,4.609573
909,3.7029672
910,3.8068795
911,3.5622797
912,4.1209426
913,4.8505864
914,3.4410634
915,4.527994
916,3.582854
917,4.348875
918,4.303981
919,4.9495525
920,4.5220127
921,4.2457533
922,4.034164
923,4.351147
924,3.5993595
925,4.4119577
926,4.7019353
927,3.9662747
928,3.4965444
929,3.615999
930,4.2780023
931,4.356222
932,5.1089587
933,3.812261
934,4.0327835
935,4.6737304
936,3.8486857
937,4.3766828
938,3.759295
939,3.5807207
940,3.7613454
941,3.9619262
942,3.1403306
943,3.1930063
944,4.4579763
945,3.9277246
946,4.464421
947,4.452909
948,4.313401
949,3.7108052
950,4.6779747
951,3.7893207
952,4.4584823
953,3.7441409
954,4.0270987
955,3.4041684
956,3.7844746
957,3.77256
958,3.2495334
959,4.851953
960,3.996196
961,3.0438614
962,4.4309926
963,3.3754823
964,3.7373793
965,3.9153829
966,3.8602242
967,3.6478364
968,4.466167
969,3.4220676
970,3.6718721
971,3.514412
972,3.9031367
973,5.0595274
974,4.060679
975,3.6215835
976,4.00355
977,3.6728234
978,3.7064612
979,4.474833
980,4.3242574
981,4.58318
982,4.2182636
983,4.349016
984,3.6380959
985,3.8502696
986,4.1705856
987,4.3865438
988,3.801499
989,4.2315893
990,3.9912782
991,4.3910823
992,4.203416
993,3.7200143
994,4.563191
995,4.1093297
996,3.4879234
997,4.2873883
998,4.1920576
999,3.8103342
1000,3.7397418
1001,3.803868
1002,4.699143
1003,3.7773778
1004,4.364916
1005,4.2058067
1006,4.277453
1007,3.5268955
1008,4.0118365
1009,4.0069947
1010,3.0527048
1011,3.9647868
1012,4.1938844
1013,3.2189775
1014,3.5759823
1015,3.7329323
1016,3.4379456
1017,4.923125
1018,4.1558013
1019,3.833612
1020,4.719402
1021,3.5481222
1022,3.383144
1023,3.449559
1024,4.0083923
1025,4.5003543
1026,3.61363
1027,3.671279
1028,4.446573
1029,4.0348883
1030,4.7461157
1031,3.5179074
1032,4.353434
1033,4.122867
1034,4.423537
1035,3.973373
1036,4.1880474
1037,3.093391
1038,3.845138
1039,4.865797
1040,4.168105
1041,4.4317064
1042,3.6199012
1043,3.517731
1044,4.015175
1045,4.3568926
1046,3.6221147
1047,3.5148623
1048,3.8939958
1049,3.8714206
1050,3.9330804
1051,4.141611
1052,3.3873858
1053,4.3775964
1054,3.887684
1055,4.255128
1056,3.746327
1057,3.0041132
1058,3.390131
1059,3.8276079
1060,3.7993112
1061,4.41608
1062,4.3751874
1063,4.53661
1064,4.81969
1065,3.9337726
1066,3.5550632
1067,3.5790763
1068,3.987894
1069,3.7116547
1070,4.1823378
1071,4.0051427
1072,4.1115565
1073,4.4961944
1074,4.669704
1075,3.1569245
1076,5.6400337
1077,4.2701616
1078,4.2684
1079,4.261576
1080,3.7345846
1081,3.6322086
1082,3.8992064
1083,3.8611243
1084,4.1243334
1085,4.446125
1086,3.6729186
1087,4.5285544
1088,3.931018
1089,4.2874846
1090,3.8456957
1091,4.2704873
1092,3.943517
1093,4.4379025
1094,3.6048577
1095,3.387837
1096,4.036614
1097,4.5174766
1098,4.992433
1099,3.1532862
1100,3.9507113
1101,3.9954293
1102,4.396976
1103,4.17313
1104,4.5703816
1105,3.844216
1106,3.6699755
1107,4.0163174
1108,3.649431
1109,4.244009
1110,3.9471087
1111,4.0022073
1112,3.9124014
1113,3.763999
1114,4.3673124
1115,3.9292927
1116,3.9491472
1117,3.3557642
1118,3.5198245
1119,3.8551185
1120,3.9457572
1121,4.1813807
1122,5.1617
1123,4.266975
1124,3.8910706
1125,3.6532202
1126,4.3077726
1127,4.0019097
1128,3.4647374
1129,3.6550794
1130,4.3539004
1131,4.236494
1132,3.2640538
1133,4.0153966
1134,4.2612014
1135,4.503961
1136,3.2634876
1137,4.13539
1138,4.1828585
1139,3.864709
1140,4.1512756
1141,4.0057173
1142,3.404281
1143,3.7875628
1144,3.8382058
1145,3.0536454
1146,4.1938076
1147,5.03594
1148,3.8269806
1149,4.482743
1150,3.9070835
1151,4.779811
1152,4.4039183
1153,3.6679733
1154,4.394838
1155,3.9907284
1156,4.1649613
1157,3.7199123
1158,4.177138
1159,4.5471997
